jurisdiction,topic_key,topic_label,source_url,notes
Alabama,non_compete,Non-Compete Enforcement Rules,https://www.govinfo.gov/content/pkg/USCOURTS-alnd-1_05-cv-00801/pdf/USCOURTS-alnd-1_05-cv-00801-2.pdf,Case 1:05-cv-00801-RBP-HGD Document 67 Filed 01/27/ ... – 
Alabama,background_checks,Background Check / Ban-the-Box,https://www.alea.gov/sbi/criminal-justice-services/criminal-records/alabama-background-check,Alabama Background Check | Alabama Law Enforcement Agency – 
Alabama,mini_warn,Mini-WARN & Separation Notices,https://webapps.dol.gov/elaws/elg/layoffs.htm,Notices for Plant Closings and Mass Layoffs – 
Alabama,everify,E-Verify / Employment Verification,http://immigration.alabama.gov/eVerify.aspx,E-Verify Employers and Federal Contractors List - Immigration – 
Alabama,workers_comp,Workers’ Compensation Requirements,https://adol.alabama.gov/insurance-requirement-information/,Insurance Requirement Information - Alabama Department of Labor – 
Alabama,prevailing_wage,Prevailing Wage Laws (public contracts),https://www.labor.alabama.gov/Wage_and_Hour_Info.pdf,Wage and Hour Info – 
Alabama,day_of_rest,Day-of-Rest / Predetermined Break Laws,https://www.federalregister.gov/documents/2024/04/26/2024-08038/defining-and-delimiting-the-exemptions-for-executive-administrative-professional-outside-sales-and,"Defining and Delimiting the Exemptions for Executive, ... – "
Alabama,biometric_privacy,Biometric Privacy / AI Use Laws (emerging),https://aitaskforce.alabama.gov/wp-content/uploads/2025/03/GenAI-TaskForce-Report_Final_20250321-002.pdf,Final Report - State of Alabama Generative AI Task Force – 
Alabama,right_to_work,Right-to-Work Laws (where applicable),https://www.nrtw.org/right-to-work-states-alabama/,Right to Work States: Alabama - National Right to Work Legal Defense Foundation – 
Alabama,domestic_violence_leave,Crime Victim / Domestic Violence Leave,https://acvcc.alabama.gov/wp-content/uploads/2024/06/ACVCC-Domestic-Violence-Victimization.pdf,Domestic Violence Victimization – 
Alabama,voting_leave,Voting / Civic Leave,https://www.sos.alabama.gov/alabama-votes/faqs,Frequently Asked Questions - Alabama Secretary of State – 
Alabama,workplace_safety,Workplace Safety Requirements (OSHA or state-level),https://www2.labor.alabama.gov/WorkplaceInjuries/Default.aspx,Alabama OSHS – 
Alabama,benefits_mandates,Employee Benefits Mandates (like state retirement savings programs),https://personnel.alabama.gov/Benefits,Benefits of State Employment - SPD – 
Alaska,minimum_wage,Minimum Wage,https://labor.alaska.gov/lss/whhome.htm,"Wage and Hour, Alaska Department of Labor – "
Alaska,overtime,Overtime & Hours,https://labor.alaska.gov/lss/whact.htm,Minimum Wage Standard and Overtime Hours – 
Alaska,paid_sick_leave,Paid Sick Leave,https://labor.alaska.gov/lss/forms/Restaurant-Industry-2025.pdf?q=050725,Department of Labor and Workforce Development – 
Alaska,family_medical_leave,Paid Family / Medical Leave (PFML),https://www.akleg.gov/basis/get_documents.asp?session=33&docid=27225,HB 100: Paid Family and Medical Leave – 
Alaska,final_pay,Final Pay / Vacation Payout,https://labor.alaska.gov/lss/whfaq.htm,Wage and Hour FAQ - Alaska Department of Labor – 
Alaska,pay_frequency,Pay Frequency & Payday Timing,https://labor.alaska.gov/lss/whfaq.htm,Wage and Hour FAQ - Alaska Department of Labor – 
Alaska,harassment_training,Harassment Training,https://aws.state.ak.us/TrainAlaska/,Log In – 
Alaska,posting_requirements,Posting Requirements,https://labor.alaska.gov/lss/posters.htm,Employment-Related Posters Required on Your Bulletin Board – 
Alaska,pregnancy_accommodation,Pregnancy / Disability / ADA Accommodations,https://www.eeoc.gov/laws/guidance/helping-patients-deal-pregnancy-related-limitations-and-restrictions-work,Helping Patients Deal with Pregnancy-Related Limitations and Restrictions at Work Under the ADA – 
Alaska,meal_rest_breaks,Meal & Rest Breaks,https://labor.alaska.gov/lss/whfaq.htm,Wage and Hour FAQ - Alaska Department of Labor – 
Alaska,jury_duty_leave,Jury Duty Leave,https://courts.alaska.gov/jury/,Jury Service - Alaska Court System – 
Alaska,bereavement_leave,Bereavement Leave,https://www.ihs.gov/OHR/pay-and-benefits/leave/leave-guide/,Leave Guide – 
Alaska,non_compete,Non-Compete Enforcement Rules,https://content.next.westlaw.com/practical-law/document/Ia59cb63f643d11e38578f7ccc38dcbee/Non-Compete-Laws-Alaska?viewType=FullText&transitionType=Default&contextData=(sc.Default),Non-Compete Laws: Alaska | Practical Law – 
Alaska,background_checks,Background Check / Ban-the-Box,https://health.alaska.gov/dhcs/Pages/cl/bgcheck/default.aspx,Background Check Program – 
Alaska,mini_warn,Mini-WARN & Separation Notices,https://jobs.alaska.gov/rr/WARN_info.htm,WARN info - Alaska Job Center Network – 
Alaska,everify,E-Verify / Employment Verification,https://www.e-verify.gov/,E-Verify: Home – 
Alaska,workers_comp,Workers’ Compensation Requirements,https://labor.alaska.gov/wc/er-profit.html,Workers' Compensation Requirements for Employer – 
Alaska,prevailing_wage,Prevailing Wage Laws (public contracts),https://labor.alaska.gov/lss/forms/Pamp600_Issue_12.pdf,Prevailing Wage Title 36 Booklet - Alaska Department of Labor – 
Alaska,day_of_rest,Day-of-Rest / Predetermined Break Laws,https://www.hrcare.com/Article.aspx/292/AlaskaMealandRestPeriodsLaw,Alaska Meal and Rest Periods Law – 
Alaska,biometric_privacy,Biometric Privacy / AI Use Laws (emerging),https://www.akleg.gov/basis/Bill/Text/33?Hsid=SB0177A,An Act relating to artificial intelligence; requiring disclosure ... – 
Alaska,right_to_work,Right-to-Work Laws (where applicable),https://www.akleg.gov/basis/Bill/Text/20?Hsid=SB0151D,An Act relating to public employment labor relations – 
Alaska,domestic_violence_leave,Crime Victim / Domestic Violence Leave,https://www.law.alaska.gov/department/criminal/victims_assistDV.html,Information on Domestic Violence - Victim-Witness Assistance – 
Alaska,voting_leave,Voting / Civic Leave,https://www.elections.alaska.gov/absentee-and-early-voting/,Absentee and Early Voting – Division of Elections – 
Alaska,workplace_safety,Workplace Safety Requirements (OSHA or state-level),https://www.osha.gov/stateplans/ak,Alaska State Plan | Occupational Safety and Health Administration – 
Alaska,benefits_mandates,Employee Benefits Mandates (like state retirement savings programs),https://drb.alaska.gov/employee/dcrplan.html,Ak DRB > PERS & TRS Defined Contribution Retirement ... – 
Arizona,minimum_wage,Minimum Wage,https://www.azica.gov/labor-minimum-wage-main-page,Labor - Minimum Wage Main Page – 
Arizona,overtime,Overtime & Hours,https://hr.az.gov/fair-labor-standards-act-flsa,Fair Labor Standards Act (FLSA) – 
Arizona,paid_sick_leave,Paid Sick Leave,https://www.azica.gov/frequently-asked-questions-about-wage-and-earned-paid-sick-time-laws,Frequently Asked Questions About Wage and Earned Paid ... – 
Arizona,family_medical_leave,Paid Family / Medical Leave (PFML),https://hr.az.gov/resources/leave-family-and-medical-leave-act-fmla,Family and Medical Leave Act (FMLA) – 
Arizona,final_pay,Final Pay / Vacation Payout,https://www.phoenix.gov/hrsite/benefit%20category/007.pdf,2024-2026 compensation and benefits reference guide – 
Arizona,pay_frequency,Pay Frequency & Payday Timing,https://hr.az.gov/sites/default/files/2022-05/Statewide_Employee_Handbook%20Rev%2004.27.2020%20PDF%20PROTECTED.pdf,Employee Handbook - Human Resources - az.gov – 
Arizona,harassment_training,Harassment Training,https://www.azleg.gov/legtext/54leg/1r/bills/hb2156p.htm,HB2156 - 541R - I Ver – 
Arizona,posting_requirements,Posting Requirements,https://hr.az.gov/required-workplace-posters,Required Workplace Posters – 
Arizona,pregnancy_accommodation,Pregnancy / Disability / ADA Accommodations,https://www.azag.gov/civil-rights/ada,Equal Employment Opportunity and Americans with Disabilities Act (ADA) Information – 
Arizona,meal_rest_breaks,Meal & Rest Breaks,https://www.azleg.gov/legtext/56leg/2r/bills/hb2797p.htm,HB2797 - 562R - I Ver – 
Arizona,jury_duty_leave,Jury Duty Leave,https://www.azcourts.gov/juryduty/Jury-Service-What-to-Expect,Jury Service - What to Expect – 
Arizona,bereavement_leave,Bereavement Leave,https://hr.az.gov/sites/default/files/2022-05/Statewide_Employee_Handbook%20Rev%2004.27.2020%20PDF%20PROTECTED.pdf,Employee Handbook - Human Resources - az.gov – 
Arizona,non_compete,Non-Compete Enforcement Rules,https://www.azleg.gov/arsDetail/?title=23,Arizona Revised Statutes Title 23 – Labor – 
Arizona,background_checks,Background Check / Ban-the-Box,https://crimcheck.net/arizona-state-background-check-laws/,Arizona State Background Check Laws | AZ | DISA - Formerly Crimcheck – 
Arizona,mini_warn,Mini-WARN & Separation Notices,https://des.az.gov/services/employment/employer-resources/worker-adjustment-retraining,Rapid Response – Workforce Reduction Support – 
Arizona,everify,E-Verify / Employment Verification,https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/23/00214.htm,View Document – 
Arizona,workers_comp,Workers’ Compensation Requirements,https://www.azica.gov/injured-worker,Injured Worker | Industrial Commission of Arizona – 
Arizona,prevailing_wage,Prevailing Wage Laws (public contracts),https://www.azag.gov/sites/default/files/2023-06/I23-004.pdf,state of arizona – 
Arizona,day_of_rest,Day-of-Rest / Predetermined Break Laws,https://www.azica.gov/labor-substantive-policy-hours-worked,Labor - Substantive Policy Hours Worked – 
Arizona,biometric_privacy,Biometric Privacy / AI Use Laws (emerging),https://www.azleg.gov/legtext/57leg/1R/laws/0193.pdf,Microsoft Word - 0193.docx – 
Arizona,right_to_work,Right-to-Work Laws (where applicable),https://www.nrtw.org/right-to-work-laws-arizona/,Right to Work Laws: Arizona - National Right to Work Legal Defense Foundation – 
Arizona,domestic_violence_leave,Crime Victim / Domestic Violence Leave,https://corrections.az.gov/sites/default/files/documents/policies/500/0523.pdf,DO 523 - Domestic and Workplace Violence – 
Arizona,voting_leave,Voting / Civic Leave,https://hr.az.gov/civic-duty-leave-voting-and-serving-polling-locations,Civic Duty Leave For Voting and Serving at Polling Locations – 
Arizona,workplace_safety,Workplace Safety Requirements (OSHA or state-level),http://www.osha.gov/stateplans,State Plans | Occupational Safety and Health Administration – 
Arizona,benefits_mandates,Employee Benefits Mandates (like state retirement savings programs),https://www.azasrs.gov/sites/default/files/OE_21_GUIDE_FINAL.pdf,For Non-Medicare & Medicare Eligible ASRS Retirees – 
Arkansas,minimum_wage,Minimum Wage,https://labor.arkansas.gov/labor/labor-standards/minimum-wage-and-overtime/,Minimum Wage and Overtime – 
Arkansas,overtime,Overtime & Hours,https://labor.arkansas.gov/labor/labor-standards/minimum-wage-and-overtime/,Minimum Wage and Overtime – 
Arkansas,paid_sick_leave,Paid Sick Leave,https://law.justia.com/codes/arkansas/title-21/chapter-4/subchapter-2/section-21-4-206/,Arkansas Code of 1987 (2024) :: Title 21 - PUBLIC OFFICERS AND EMPLOYEES (§§ 21-1-101 — 21-15-113) :: Chapter 4 - ATTENDANCE AND LEAVE (§§ 21-4-101 — 21-4-505) :: Subchapter 2 - UNIFORM ATTENDANCE AND LEAVE POLICY ACT (§§ 21-4-201 — 21-4-218) :: Section 21-4-206 - Sick leave - When granted - Definition – 
Arkansas,family_medical_leave,Paid Family / Medical Leave (PFML),https://transform.ar.gov/personnel/myarfamily/frequently-asked-questions/,Frequently Asked Questions - Arkansas Department of Transformation and Shared Services – 
Arkansas,final_pay,Final Pay / Vacation Payout,https://labor.arkansas.gov/labor/labor-standards/wage-claims/,Wage Claims - Arkansas Department of Labor and Licensing – 
Arkansas,pay_frequency,Pay Frequency & Payday Timing,https://www.minimum-wage.org/arkansas/payday-frequency-laws,Payday Laws in Arkansas 2025 – 
Arkansas,harassment_training,Harassment Training,https://www.stopbullying.gov/resources/laws/arkansas,Arkansas Anti-Bullying Laws & Policies – 
Arkansas,posting_requirements,Posting Requirements,https://labor.arkansas.gov/resources/required-postings/,Required Postings – 
Arkansas,pregnancy_accommodation,Pregnancy / Disability / ADA Accommodations,https://dese.ade.arkansas.gov/Files/2022_DESE_EAC_Section_504_Manual_FINAL_Legal.pdf,Section 504 Guidance Manual – 
Arkansas,meal_rest_breaks,Meal & Rest Breaks,https://labor.arkansas.gov/labor/labor-standards/,Labor Standards » Arkansas Department of Labor and Licensing – 
Arkansas,jury_duty_leave,Jury Duty Leave,https://pulaskiclerkar.gov/departments/jury-administration/,Jury Administration > Arkansas Pulaski County Circuit Clerk – 
Arkansas,bereavement_leave,Bereavement Leave,https://humanservices.arkansas.gov/wp-content/uploads/DHS-Policy-1007.pdf,DHS Leave Policy – 
Arkansas,non_compete,Non-Compete Enforcement Rules,https://law.justia.com/codes/arkansas/title-4/subtitle-6/chapter-75/subchapter-1/section-4-75-101/,Arkansas Code of 1987 (2024) :: Title 4 - BUSINESS AND COMMERCIAL LAW (§§ 4-1-101 — 4-119-105) :: Subtitle 6 - BUSINESS PRACTICES (§§ 4-70-101 — 4-76-108) :: Chapter 75 - UNFAIR PRACTICES (§§ 4-75-101 — 4-75-1404) :: Subchapter 1 - GENERAL PROVISIONS (§§ 4-75-101 — 4-75-103) :: Section 4-75-101 - Covenant not to compete agreements – 
Arkansas,background_checks,Background Check / Ban-the-Box,https://portal.arkansas.gov/service/criminal-background-check-system/,Criminal Background Check System - Arkansas.gov – 
Arkansas,mini_warn,Mini-WARN & Separation Notices,https://dws.arkansas.gov/workforce-services/news-info/workforce-services-regulations/,Workforce Services Regulations – 
Arkansas,everify,E-Verify / Employment Verification,https://www.e-verify.gov/ead-revocation-guidance-for-e-verify-employers,EAD Revocation Guidance For E-Verify Employers – 
Arkansas,workers_comp,Workers’ Compensation Requirements,https://labor.arkansas.gov/workers-comp/awcc-rules-advisories-medical-fees/awcc-rules/,Rules of the Commission » Arkansas Department of Labor and Licensing – 
Arkansas,prevailing_wage,Prevailing Wage Laws (public contracts),https://labor.arkansas.gov/resources/publications/laws-and-rules/rules/,Rules » Arkansas Department of Labor and Licensing – 
Arkansas,day_of_rest,Day-of-Rest / Predetermined Break Laws,https://labor.arkansas.gov/labor/labor-standards/,Labor Standards » Arkansas Department of Labor and Licensing – 
Arkansas,biometric_privacy,Biometric Privacy / AI Use Laws (emerging),https://www.dfa.arkansas.gov/office/driver-services/mobile-id/mobile-id-for-users/,Arkansas Mobile ID App Users – 
Arkansas,right_to_work,Right-to-Work Laws (where applicable),https://www.nrtw.org/right-to-work-states-arkansas/,Right to Work States: Arkansas - National Right to Work Legal Defense Foundation – 
Arkansas,domestic_violence_leave,Crime Victim / Domestic Violence Leave,https://dps.arkansas.gov/crime-info-support/arkansas-crime-information-center/community-information/victims-information/,Victim's Information - Arkansas Department of Public Safety – 
Arkansas,voting_leave,Voting / Civic Leave,https://www.sos.arkansas.gov/frequently-asked-questions,Frequently Asked Questions - Arkansas Secretary of State – 
Arkansas,workplace_safety,Workplace Safety Requirements (OSHA or state-level),https://labor.arkansas.gov/labor/occupational-safety-and-health/aosh-arkansas-occup-safety-and-health/,AOSH (Arkansas Occup. Safety and Health) – 
Arkansas,benefits_mandates,Employee Benefits Mandates (like state retirement savings programs),https://law.justia.com/codes/arkansas/title-21/chapter-5/subchapter-5/section-21-5-511/,Arkansas Code of 1987 (2024) :: Title 21 - PUBLIC OFFICERS AND EMPLOYEES (§§ 21-1-101 — 21-15-113) :: Chapter 5 - COMPENSATION AND BENEFITS (§§ 21-5-101 — 21-5-1418) :: Subchapter 5 - DEFERRED COMPENSATION (§§ 21-5-501 — 21-5-511) :: Section 21-5-511 - Automatic enrollment in deferred compensation plan - Definitions – 
California,minimum_wage,Minimum Wage,https://www.dir.ca.gov/dlse/minimum_wage.htm,Minimum Wage - California Department of Industrial Relations – 
California,overtime,Overtime & Hours,https://www.dir.ca.gov/dlse/faq_overtime.htm,Overtime - California Department of Industrial Relations – 
California,paid_sick_leave,Paid Sick Leave,https://www.dir.ca.gov/dlse/paid_sick_leave.htm,California Paid Sick Leave: Frequently Asked Questions – 
California,family_medical_leave,Paid Family / Medical Leave (PFML),https://edd.ca.gov/en/disability/paid-family-leave/,Paid Family Leave - EDD - CA.gov – 
California,final_pay,Final Pay / Vacation Payout,https://www.dir.ca.gov/dlse/faq_vacation.htm,Vacation - California Department of Industrial Relations – 
California,pay_frequency,Pay Frequency & Payday Timing,https://www.dir.ca.gov/dlse/faq_paydays.htm,"Paydays, pay periods, and the final wages – "
California,harassment_training,Harassment Training,https://calcivilrights.ca.gov/shpt/,Sexual Harassment Prevention Training – Landing page | CRD – 
California,posting_requirements,Posting Requirements,https://www.dir.ca.gov/wpnodb.html,Department of Industrial Relations Workplace Postings – 
California,pregnancy_accommodation,Pregnancy / Disability / ADA Accommodations,https://hrmanual.calhr.ca.gov/Home/ManualItem/1/2120,2120 - Pregnancy Disability Leave - CalHR Enterprise Manuals – 
California,meal_rest_breaks,Meal & Rest Breaks,https://www.dir.ca.gov/smallbusiness/Wages-Breaks-and-Retaliation.htm,"Wages, Breaks and Retaliation – "
California,jury_duty_leave,Jury Duty Leave,https://courts.ca.gov/courts/jury-service,Jury Service | Judicial Branch of California - CA.gov – 
California,bereavement_leave,Bereavement Leave,https://hrmanual.calhr.ca.gov/Home/ManualItem/1/2115,Bereavement Leave - Human Resources Manual - CalHR – 
California,non_compete,Non-Compete Enforcement Rules,https://www.ftc.gov/legal-library/browse/federal-register-notices/16-cfr-part-910-non-compete-clause-rule,16 CFR Part 910: Non-Compete Clause Rule – 
California,background_checks,Background Check / Ban-the-Box,https://govt.westlaw.com/calregs/Document/IA5B929202BBE11EE83A6A5199BD12D30?viewType=FullText&originationContext=documenttoc&transitionType=CategoryPageItem&contextData=%28sc.Default%29,View Document - California Code of Regulations – 
California,mini_warn,Mini-WARN & Separation Notices,https://www.dir.ca.gov/dlse/WARN-FAQs.html,Guidance on Conditional Suspension of California WARN Act Notice Requirements under Executive Order N-31-20 – 
California,everify,E-Verify / Employment Verification,https://www.e-verify.gov/,E-Verify: Home – 
California,workers_comp,Workers’ Compensation Requirements,https://www.cslb.ca.gov/contractors/maintain_license/workers_compensation.aspx,Workers' Compensation Requirements - CSLB - CA.gov – 
California,prevailing_wage,Prevailing Wage Laws (public contracts),https://www.dir.ca.gov/public-works/prevailing-wage.html,Prevailing Wage - California Department of Industrial Relations – 
California,day_of_rest,Day-of-Rest / Predetermined Break Laws,https://www.dir.ca.gov/dlse/FAQ_RestPeriods.htm,Assistance for employees and employers:  Answering your questions – 
California,biometric_privacy,Biometric Privacy / AI Use Laws (emerging),https://oag.ca.gov/news/press-releases/attorney-general-bonta-issues-legal-advisories-application-california-law-ai,Attorney General Bonta Issues Legal Advisories on the Application of California Law to AI – 
California,right_to_work,Right-to-Work Laws (where applicable),https://www.dir.ca.gov/,California Department of Industrial Relations – 
California,domestic_violence_leave,Crime Victim / Domestic Violence Leave,https://www.dir.ca.gov/dlse/Victims_of_Domestic_Violence_Leave_Notice.pdf,Victims of Domestic Violence Leave Notice – 
California,voting_leave,Voting / Civic Leave,https://www.sos.ca.gov/elections/time-vote-notices,"""Time off to Vote"" Notices – "
California,workplace_safety,Workplace Safety Requirements (OSHA or state-level),https://www.dir.ca.gov/dosh/,Cal/OSHA - Division of Occupational Safety and Health – 
California,benefits_mandates,Employee Benefits Mandates (like state retirement savings programs),https://edd.ca.gov/en/employers/calsavers/,CalSavers Retirement Savings Program - EDD - CA.gov – 
Colorado,minimum_wage,Minimum Wage,https://cdle.colorado.gov/dlss/labor-laws-rules-resources,"Labor Laws, Rules, & Resources – "
Colorado,overtime,Overtime & Hours,https://cdle.colorado.gov/sites/cdle/files/INFO%20%231%20COMPS%20Order%20%2337%20%282021%29%20%5Baccessible%5D.pdf,INFO #1 Colorado Overtime & Minimum Pay Standards ... – 
Colorado,paid_sick_leave,Paid Sick Leave,https://cdle.colorado.gov/dlss/labor-laws-by-topic/wage-and-hour-laws-including-paid-sick-leave,Wage and Hour Laws (including Paid Sick Leave) – 
Colorado,family_medical_leave,Paid Family / Medical Leave (PFML),https://famli.colorado.gov/,Home | Family and Medical Leave Insurance – 
Colorado,final_pay,Final Pay / Vacation Payout,https://cdle.colorado.gov/sites/cdle/files/info_%233e_payment_of_earned_vacation_upon_separation_of_employment_5.29.2024_accessible.pdf,INFO #3E Payment of Earned Vacation upon Separation of ... – 
Colorado,pay_frequency,Pay Frequency & Payday Timing,https://cdle.colorado.gov/wage-and-hour-law/paydays-pay-periods-and-pay-statements,"Paydays, Pay Periods, and Pay Statements – "
Colorado,harassment_training,Harassment Training,https://dhr.colorado.gov/state-employees/learning-development/statewide-training-programs/required-training,Required Training - DHR Colorado – 
Colorado,posting_requirements,Posting Requirements,https://www.coloradosos.gov/CCR/Upload/NoticeOfRulemaking/ProposedRuleAttach2024-00129.pdf,DEPARTMENT OF LABOR AND EMPLOYMENT Division ... – 
Colorado,pregnancy_accommodation,Pregnancy / Disability / ADA Accommodations,https://cdle.colorado.gov/sites/cdle/files/Pregnant%20Workers%20Fairness%20Act%20accessible.pdf,Pregnant Workers Fairness Act – 
Colorado,meal_rest_breaks,Meal & Rest Breaks,https://www.workforcehub.com/hr-laws-and-regulations/colorado/colorado-meal-and-rest-break-laws/,Meal and Rest Break Laws in Colorado | WorkforceHub – 
Colorado,jury_duty_leave,Jury Duty Leave,https://www.coloradojudicial.gov/jury-0/information-employers,Information for Employers | Colorado Judicial Branch – 
Colorado,bereavement_leave,Bereavement Leave,https://dhr.colorado.gov/state-employees/time-off-leave,Time Off & Leave - DHR Colorado – 
Colorado,non_compete,Non-Compete Enforcement Rules,https://leg.colorado.gov/sites/default/files/documents/2025A/bills/fn/2025a_sb083_00.pdf,SB 25-083 – 
Colorado,background_checks,Background Check / Ban-the-Box,https://cdle.colorado.gov/workplace-conditions/colorado-chance-to-compete-act-ban-the-box,Colorado Chance to Compete Act (Ban the Box) – 
Colorado,mini_warn,Mini-WARN & Separation Notices,https://cdle.colorado.gov/employers/layoff-separations/layoff-warn-list,WARN Listings for Layoffs & Separations – 
